X,W,Y,H
139,1429,712,1077
143,743,932,175
889,673,932,175
145,742,1324,71
145,743,1396,71
145,743,1468,67
145,743,1536,66
889,673,1324,70
890,672,1396,71
890,672,1468,66
890,672,1536,66
145,743,1695,46
145,742,1276,47
145,743,1648,45
145,743,1604,42
145,741,1231,44
143,743,802,43
145,743,1743,43
144,742,887,43
890,673,1648,45
142,744,759,41
142,744,717,40
891,673,1695,46
145,741,1190,40
143,743,847,39
890,673,1604,42
889,672,802,43
889,673,1231,43
144,742,1108,40
889,673,888,42
145,741,1150,38
891,673,1743,42
889,671,717,41
889,671,759,42
889,673,1190,40
889,672,847,39
889,673,1108,40
889,673,1150,38
X,W,Y,H
93,1447,351,1703
105,1431,1528,309
809,717,448,495
96,717,451,500
108,1430,1867,184
104,1427,1337,138
101,714,996,157
814,714,991,154
103,713,1146,160
816,714,1143,155
104,1426,1296,51
107,1429,1826,51
182,610,584,72
320,653,2056,64
324,646,2059,59
1024,515,2052,61
808,714,405,45
96,711,409,49
1027,258,2080,31
1286,250,2078,32
438,1081,1677,55
833,673,859,50
1031,167,1143,44
322,472,1156,58
1268,267,2056,22
1027,190,2058,22
608,60,589,59
669,60,588,60
185,59,593,60
246,59,593,59
487,59,590,59
730,60,587,60
426,60,591,59
1142,368,1000,38
548,58,590,58
367,58,592,58
306,59,592,59
142,1497,2322,13
