X,W,Y,H,AREA
93,1447,351,1703,2417386.5
105,1431,1528,309,422300.5
809,717,448,495,349445.0
96,717,451,500,349335.5
108,1430,1867,184,238880.5
104,1427,1337,138,179401.0
101,714,996,157,104848.0
814,714,991,154,104723.0
103,713,1146,160,104363.5
816,714,1143,155,94353.0
104,1426,1296,51,55022.5
107,1429,1826,51,50817.0
182,610,584,72,38478.5
320,653,2056,64,36909.0
324,646,2059,59,32211.0
1024,515,2052,61,28862.0
808,714,405,45,28380.5
96,711,409,49,28047.0
1027,258,2080,31,7329.0
1286,250,2078,32,7060.0
438,1081,1677,55,5966.5
833,673,859,50,5530.5
1031,167,1143,44,5031.0
322,472,1156,58,4493.5
1268,267,2056,22,4348.0
1027,190,2058,22,3679.5
608,60,589,59,3365.0
669,60,588,60,3350.0
185,59,593,60,3347.5
246,59,593,59,3344.5
487,59,590,59,3336.5
730,60,587,60,3330.0
426,60,591,59,3302.0
1142,368,1000,38,3278.0
548,58,590,58,3247.0
367,58,592,58,3245.5
306,59,592,59,3242.5
142,1497,2322,13,3072.0
